iter	Passed	Remaining
223	620	2148
224	621	2139
225	621	2130
226	622	2121
227	623	2112
228	624	2103
229	626	2095
230	627	2087
231	627	2078
232	628	2069
233	633	2072
234	636	2070
235	637	2062
236	638	2054
237	639	2045
238	639	2037
239	640	2029
240	641	2021
241	642	2012
242	643	2004
243	645	1999
244	646	1992
245	647	1985
246	648	1977
247	649	1969
248	650	1961
249	651	1954
250	652	1946
251	653	1940
252	654	1932
253	655	1924
254	656	1917
255	657	1909
256	658	1902
257	660	1898
258	661	1891
259	662	1884
260	663	1878
261	667	1879
262	669	1876
263	670	1869
264	671	1862
265	672	1855
266	675	1855
267	677	1849
268	678	1842
269	679	1836
270	679	1829
271	680	1822
272	681	1815
273	682	1808
274	683	1801
275	684	1794
276	685	1788
277	685	1781
278	686	1774
279	687	1768
280	690	1765
281	691	1761
282	693	1757
283	696	1755
284	697	1748
285	697	1742
286	698	1736
287	700	1731
288	701	1726
289	703	1721
290	704	1716
291	706	1712
292	710	1713
293	711	1707
294	711	1701
295	712	1695
296	713	1689
297	714	1683
298	715	1677
299	716	1671
300	718	1669
301	720	1664
302	722	1662
303	723	1656
304	724	1651
305	725	1645
306	726	1639
307	727	1634
308	728	1628
309	729	1622
310	729	1617
311	730	1611
312	731	1606
313	733	1602
314	734	1597
315	735	1592
316	736	1587
317	737	1582
318	738	1577
319	740	1572
320	741	1567
321	742	1562
322	742	1557
323	743	1552
324	745	1547
325	746	1543
326	748	1540
327	749	1535
328	750	1530
329	751	1525
330	752	1521
331	754	1517
332	755	1512
333	755	1507
334	756	1502
335	757	1497
336	758	1492
337	759	1487
338	760	1481
339	761	1477
340	762	1473
341	763	1469
342	764	1464
343	765	1459
344	766	1454
345	767	1449
346	767	1445
347	768	1440
348	769	1435
349	770	1430
350	771	1426
351	772	1421
352	772	1416
353	773	1412
354	774	1407
355	775	1402
356	776	1399
357	778	1395
358	778	1390
359	779	1386
360	780	1381
361	781	1377
362	782	1373
363	784	1370
364	785	1366
365	786	1362
366	787	1358
367	788	1353
368	789	1349
369	790	1345
370	791	1342
371	793	1338
372	793	1334
373	794	1330
374	797	1329
375	800	1328
376	803	1327
377	804	1323
378	805	1320
379	808	1319
380	809	1315
381	810	1311
382	811	1307
383	812	1303
384	813	1299
385	814	1295
386	815	1291
387	816	1287
388	817	1284
389	819	1281
390	820	1277
391	822	1275
392	826	1276
393	828	1274
394	829	1270
395	830	1266
396	831	1262
397	833	1260
398	835	1258
399	837	1255
400	838	1252
401	839	1248
402	840	1245
403	841	1241
404	842	1238
405	843	1234
406	844	1230
407	845	1226
408	846	1222
409	847	1219
410	848	1215
411	849	1212
412	851	1210
413	852	1206
414	855	1205
415	857	1204
416	859	1201
417	860	1198
418	861	1194
419	862	1191
420	864	1189
421	866	1186
422	868	1184
423	871	1184
424	873	1181
425	874	1178
426	876	1175
427	877	1172
428	881	1172
429	882	1170
430	884	1167
431	889	1169
432	890	1166
433	891	1163
434	892	1159
435	895	1158
436	897	1156
437	902	1157
438	903	1154
439	904	1151
440	906	1148
441	907	1145
442	908	1141
443	911	1141
444	913	1138
445	918	1141
446	920	1138
447	921	1135
448	922	1132
449	923	1128
450	927	1129
451	929	1126
452	934	1127
453	935	1125
454	936	1121
